n_particles,dimensions,alpha,sampler,mean_energy,energy_per_particle,standard_error_naive,variance,acceptance_rate,elapsed_time,exact_ground_energy,exact_variational_energy,energy_error_vs_variational
1,3,0.6,brute,1.5243171721720583,1.5243171721720583,0.0010162405472108177,0.05163724248976711,0.4652181818181818,1.1784246079987497,1.5,1.525,-0.0006828278279416011
1,3,0.6499999999999999,brute,1.5565186739570984,1.5565186739570984,0.001444504841570474,0.10432971186602699,0.45047272727272725,1.157813880003232,1.5,1.5519230769230767,0.004595597034021681
1,3,0.7,brute,1.5885150176755092,1.5885150176755092,0.0018409445836155126,0.16945384799716467,0.4319090909090909,1.155831482996291,1.5,1.5857142857142854,0.002800731961223768
10,3,0.3,brute,16.99998951668733,1.6999989516687328,0.009312292680464252,4.335939748331405,0.6031181818181818,7.115310397995927,15.0,17.0,-1.0483312671283329e-05
10,3,0.35,brute,15.95918256059782,1.595918256059782,0.006296418560688135,1.982244334568902,0.574049090909091,7.163160784999491,15.0,15.964285714285714,-0.005103153687892714
10,3,0.39999999999999997,brute,15.364065932241516,1.5364065932241515,0.003869054203370666,0.748479021431011,0.5490254545454546,7.123164373995678,15.0,15.375,-0.010934067758483934
10,3,0.44999999999999996,brute,15.082067613556429,1.508206761355643,0.001836097180941999,0.16856264289315778,0.5250054545454546,7.059927319001872,15.0,15.083333333333336,-0.001265719776906593
10,3,0.5,brute,15.0,1.5,0.0,0.0,0.5053909090909091,7.158209184999578,15.0,15.0,0.0
10,3,0.5499999999999999,brute,15.06653980493706,1.506653980493706,0.0016707467658048604,0.13956973777237003,0.4852981818181818,7.136895331997948,15.0,15.068181818181817,-0.0016420132447567681
10,3,0.6,brute,15.246525503089128,1.5246525503089128,0.0031597542472308815,0.49920234514467965,0.46760545454545455,7.2234907890015165,15.0,15.250000000000002,-0.003474496910873981
10,3,0.6499999999999999,brute,15.51961042968464,1.551961042968464,0.004610340515693507,1.0627619835322537,0.4502,7.060938307004108,15.0,15.519230769230766,0.0003796604538734982
10,3,0.7,brute,15.875578887396722,1.5875578887396722,0.005978089299998003,1.7868775839375302,0.43306,7.170457797998097,15.0,15.85714285714286,0.018436030253862867
100,3,0.3,brute,170.1953404317552,1.701953404317552,0.0296640902697374,43.99791257655646,0.602956,67.92786736100243,150.0,170.0,0.19534043175519855
100,3,0.35,brute,159.54687057574532,1.5954687057574533,0.019726186254313872,19.456121206994077,0.57495,67.96391783400031,150.0,159.64285714285717,-0.09598656711185072
100,3,0.39999999999999997,brute,153.7668742010671,1.5376687420106712,0.012416296815067321,7.708221329992544,0.5495227272727272,68.3560435890031,150.0,153.75,0.016874201067111017
100,3,0.44999999999999996,brute,150.85011336830752,1.5085011336830751,0.005771760109541495,1.6656607381047224,0.5260469090909091,68.20048189600493,150.0,150.83333333333331,0.016780034974203772
100,3,0.5,brute,150.0,1.5,0.0,0.0,0.5052185454545455,68.28100434599764,150.0,150.0,0.0
100,3,0.5499999999999999,brute,150.68061224709112,1.5068061224709113,0.005197561960081502,1.3507325164443134,0.48496545454545453,68.37250045299879,150.0,150.68181818181816,-0.0012059347270394483
100,3,0.6,brute,152.50176598506445,1.5250176598506444,0.010039841250336145,5.039920616597562,0.4664090909090909,67.78014885599987,150.0,152.5,0.0017659850644520247
100,3,0.6499999999999999,brute,155.17980611877707,1.5517980611877706,0.01450597443003949,10.521164708247975,0.4497165454545455,67.9121849400035,150.0,155.19230769230765,-0.01250157353058512
100,3,0.7,brute,158.66211287596835,1.5866211287596834,0.01879529828457784,17.663161880312735,0.4335676363636364,67.99551192199579,150.0,158.57142857142858,0.09068430453976362
500,3,0.3,brute,849.5105765025106,1.6990211530050212,0.06513257140583706,212.11259289682317,0.6030069454545455,381.9015110830005,750.0,850.0000000000001,-0.4894234974894971
500,3,0.35,brute,798.089102895035,1.59617820579007,0.04487280767619763,100.67844343725108,0.5747856727272728,380.13354320999497,750.0,798.2142857142857,-0.12518281925065367
500,3,0.39999999999999997,brute,768.7404344872803,1.5374808689745605,0.027265164559716313,37.169459923420526,0.5494577090909091,379.7312332149959,750.0,768.7499999999999,-0.009565512719632352
500,3,0.44999999999999996,brute,754.1674772886058,1.5083349545772116,0.012965716338426043,8.405490008426403,0.5262098909090909,377.8329915150025,750.0,754.1666666666666,0.0008106219391947889
500,3,0.5,brute,750.0,1.5,0.0,0.0,0.5049401818181818,377.4744766720032,750.0,750.0,0.0
500,3,0.5499999999999999,brute,753.4012194893922,1.5068024389787844,0.011459323311531254,6.565804537910181,0.48511927272727273,377.96155363699654,750.0,753.4090909090908,-0.007871419698517457
500,3,0.6,brute,762.4109542733058,1.5248219085466117,0.02252964028214429,25.379234562140926,0.4668751272727273,379.0009972669941,750.0,762.5,-0.08904572669416666
500,3,0.6499999999999999,brute,775.9321137160867,1.5518642274321734,0.03242542757777418,52.57041768007392,0.4497722181818182,380.05553615700046,750.0,775.9615384615383,-0.02942474545159257
500,3,0.7,brute,792.7773904400996,1.585554780880199,0.0419954045341406,88.18070009930587,0.43357898181818183,382.199525996999,750.0,792.857142857143,-0.07975241704343716
